시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
초등학교,학성초등학교,울산광역시 중구 해오름1길 15 (반구동),울산광역시 중구 반구동 270-1,35.55959823,129.3426299820,울산광역시 중구,울산중부경찰서,N,,10,2021-09-28,6310000,울산광역시
유치원,학성초등학교병설유치원,울산광역시 중구 해오름1길 15 (반구동),울산광역시 중구 반구동 270-1,35.55959823,129.3426299820,울산광역시 중구,울산중부경찰서,Y,1,10,2021-09-28,6310000,울산광역시
초등학교,병영초등학교,울산광역시 중구 병영성13길 2 (서동),울산광역시 중구 서동 311,35.574978,129.3454455,울산광역시 중구,울산중부경찰서,N,,5~12,2021-09-28,6310000,울산광역시
유치원,파랑새유치원,부산광역시 금정구 금샘로420번길 15,부산광역시 금정구 구서동 1011-1,35.260734,129.085368,부산광역시 금정구청,금정경찰서,N,,8,2021-12-23,3350000,부산광역시 금정구
유치원,트니트니유치원,부산광역시 금정구 중앙대로1667번길 10,부산광역시 금정구 부곡동 235-5,35.23346946,129.0908853,부산광역시 금정구청,금정경찰서,N,,8,2021-12-23,3350000,부산광역시 금정구
유치원,유성유치원,부산광역시 금정구 서금로 91-4,부산광역시 금정구 금사동 507,35.221941,129.109997,부산광역시 금정구청,금정경찰서,N,,10,2021-12-23,3350000,부산광역시 금정구
유치원,금정유치원,부산광역시 금정구 식물원로44번길 46,부산광역시 금정구 장전동 348-1,35.22802827,129.0848988,부산광역시 금정구청,금정경찰서,Y,4,3~18,2021-12-23,3350000,부산광역시 금정구
유치원,구서초등학교 병설유치원,부산광역시 금정구 구서중앙로 35,부산광역시 금정구 구서동 752,35.254258,129.0871377,부산광역시 금정구청,금정경찰서,N,,7~13,2021-12-23,3350000,부산광역시 금정구
유치원,강동숲유치원,울산광역시 북구 대안2길 38,,35.650131,129.4215271,울산광역시 북구청,북부경찰서,N,0,3.5,2021-12-21,3720000,울산광역시 북구
유치원,강동유치원,울산광역시 북구 달곡2길 38,,35.6054105,129.428482,울산광역시 북구청,북부경찰서,Y,0,4,2021-12-21,3720000,울산광역시 북구
초등학교,강동초교,울산광역시 북구 화암4길 5,,35.6314315,129.4350097,울산광역시 북구청,북부경찰서,Y,4,8~10,2021-12-21,3720000,울산광역시 북구
초등학교,고헌초교,울산광역시 북구 화동로 129,,35.60233053,129.3693038,울산광역시 북구청,북부경찰서,Y,7,20~30,2021-12-21,3720000,울산광역시 북구
유치원,고헌유치원,울산광역시 북구 화산3길 2,,35.59575202,129.3712263,울산광역시 북구청,북부경찰서,N,0,13,2021-12-21,3720000,울산광역시 북구
유치원,대우유치원,부산광역시 금정구 부산대학로 10,부산광역시 금정구 부곡동 244-37,35.23306339,129.0899786,부산광역시 금정구청,금정경찰서,Y,1,8~10,2021-12-23,3350000,부산광역시 금정구
유치원,누리유치원,부산광역시 금정구 금샘로229번길 8,부산광역시 금정구 장전동 90-11,35.244714,129.0838052,부산광역시 금정구청,금정경찰서,N,,7,2021-12-23,3350000,부산광역시 금정구
유치원,남산유치원,부산광역시 금정구 팔송로39번길 83,부산광역시 금정구 남산동 332-8,35.268487,129.0886453,부산광역시 금정구청,금정경찰서,Y,2,14,2021-12-23,3350000,부산광역시 금정구
유치원,꿈나무유치원,부산광역시 금정구 금샘로 23,부산광역시 금정구 장전동 503-81,35.22812259,129.077206,부산광역시 금정구청,금정경찰서,N,,14,2021-12-23,3350000,부산광역시 금정구
유치원,꾸미랑유치원,부산광역시 금정구 서동로34번길 25,부산광역시 금정구 부곡동 778-1,35.2197578,129.091103,부산광역시 금정구청,금정경찰서,N,,5,2021-12-23,3350000,부산광역시 금정구
유치원,금양미래유치원,부산광역시 금정구 수림로 12,부산광역시 금정구 부곡동 63-11,35.24056963,129.0923945,부산광역시 금정구청,금정경찰서,Y,1,8,2021-12-23,3350000,부산광역시 금정구
유치원,광명유치원,부산광역시 금정구 금샘로 51,부산광역시 금정구 장전동 502-35,35.22986147,129.0749601,부산광역시 금정구청,금정경찰서,N,,18,2021-12-23,3350000,부산광역시 금정구
유치원,청룡초등학교병설유치원,부산광역시 금정구 팔송로 6,부산광역시 금정구 청룡동 46,35.272731,129.0917551,부산광역시 금정구청,금정경찰서,Y,2,6~32,2021-12-23,3350000,부산광역시 금정구
유치원,서명초등학교병설유치원,부산광역시 금정구 명서로 48,부산광역시 금정구 서동 302-1953,35.21516544,129.0946322,부산광역시 금정구청,금정경찰서,Y,1,6~7,2021-12-23,3350000,부산광역시 금정구
