,시설종류,대상시설명,행정구역,경도,위도,다발지역사고건수,다발지역KSI,스쿨존사고건수,스쿨존KSI,ARI
1052,유치원,등대유치원,양천구,126.877791,37.522133,8,1,2,1,2.04
135,유치원,석관병설유치원,성북구,127.0583548,37.61102341,3,1,7,1,2.04
164,유치원,숭곡병설유치원,성북구,127.03281640000002,37.6084672,6,1,4,1,2.04
193,어린이집,장위어린이집,성북구,127.0489291,37.609245,3,1,7,1,2.04
169,유치원,은하유치원,성북구,127.05865690000002,37.6094377,3,1,7,1,2.04
96,초등학교,석관초등학교,성북구,127.0583548,37.61102341,3,1,7,1,2.04
163,어린이집,장위3동어린이집,성북구,127.0534217,37.61675603,3,1,7,1,2.04
675,초등학교,서울삼양초등학교,강북구,127.0161486,37.62329377,7,2,3,0,2.04
677,초등학교,서울수유초등학교(수유병설유치원 중복),강북구,127.0202922,37.63125065,7,2,3,0,2.04
664,어린이집,삼양어린이집,강북구,127.0199106,37.62782336,7,2,3,0,2.04
658,특수학교,애화학교,강북구,127.0288726,37.62519423,7,2,3,0,2.04
665,어린이집,신기어린이집,강북구,127.0170158,37.63099889,7,2,3,0,2.04
659,특수학교,한빛맹학교,강북구,127.0157138,37.62789211,7,2,3,0,2.04
660,특수학교,서울정인학교,강북구,127.01192240000002,37.63095627,7,2,3,0,2.04
682,초등학교,서울유현초등학교,강북구,127.0114196,37.63234744,7,2,3,0,2.04
688,유치원,운산유치원,강북구,127.0217108,37.6320721,7,2,3,0,2.04
838,초등학교,서울망우초등학교,중랑구,127.1038401,37.59873869,6,0,4,1,2.01
120,유치원,동덕유치원,성북구,127.0440045,37.6062049,3,0,7,0,2.0
94,초등학교,월곡초등학교,성북구,127.0460816,37.61002333,3,0,7,0,2.0
941,특수학교,새롬학교,관악구,126.927367,37.493126,9,4,0,0,1.97
305,어린이집,자이젠킨더어린이집,강동구,127.1478568,37.5377155,7,2,2,1,1.9
310,어린이집,구립은강어린이집,강동구,127.1363923,37.5333784,7,2,2,1,1.9
1133,어린이집,으뜸어린이집,강서구,126.860201,37.53365332,7,3,2,0,1.9
296,어린이집,예은어린이집,강동구,127.1336179,37.5408215,7,2,2,1,1.9
550,초등학교,신명초등학교,강동구,127.149989,37.54095770000001,7,2,2,1,1.9
537,유치원,예크유치원,강동구,127.1427154,37.53781160000001,7,2,2,1,1.9
1116,유치원,대유유치원,강서구,126.86158799999998,37.53400816,7,3,2,0,1.9
570,초등학교,길동초등학교,강동구,127.1435022,37.5380968,7,2,2,1,1.9
346,어린이집,성심어린이집,강동구,127.1445702,37.53621522,7,2,2,1,1.9
543,유치원,길동초병설유치원,강동구,127.1435022,37.5380968,7,2,2,1,1.9
1020,어린이집,으뜸어린이집,양천구,126.858316,37.526814,7,3,2,0,1.9
1023,어린이집,어깨동무어린이집,양천구,126.859116,37.527432,7,3,2,0,1.9
778,초등학교,충암초등,은평구,126.9217386,37.5850457,6,4,2,1,1.89
800,유치원,무지개나라유치원,은평구,126.9180933,37.584587,6,4,2,1,1.89
593,유치원,충암유치원,서대문구,126.922319,37.584535,6,4,2,1,1.89
606,유치원,연유치원,서대문구,126.9240746,37.58187896,6,4,2,1,1.89
485,초등학교,흑석초등학교,동작구,126.9651329,37.5082938,5,3,3,2,1.89
774,초등학교,응암초등,은평구,126.9217624,37.588281,6,4,2,1,1.89
817,어린이집,구립응암어린이집,은평구,126.922725,37.588838,6,4,2,1,1.89
465,어린이집,큰별어린이집,동작구,126.965112,37.50463572,5,3,3,2,1.89
679,초등학교,서울번동초등학교,강북구,127.0400394,37.62902557,7,1,2,1,1.84
993,초등학교,신화,도봉구,127.0408596,37.6326698,7,1,2,1,1.84
991,초등학교,신창초교,도봉구,127.0421969,37.6361731,7,1,2,1,1.84
669,어린이집,자연어린이집,강북구,127.03921409999998,37.62786177,7,1,2,1,1.84
47,유치원,초안유치원,노원구,127.0434525,37.63067857,7,1,2,1,1.84
668,어린이집,예닮어린이집,강북구,127.0356875,37.63491581,7,1,2,1,1.84
970,유치원,신창초병설,도봉구,127.0421969,37.6361731,7,1,2,1,1.84
657,유치원,꿈동산유치원,강북구,127.0383543,37.63215859,7,1,2,1,1.84
645,어린이집,예뜰어린이집,구로구,126.884695,37.48599142,5,2,3,2,1.79
529,초등학교,구로남초등학교,구로구,126.8902176,37.48420548,5,2,3,2,1.79
709,초등학교,영일초등학교,구로구,126.8838114,37.48564457,5,2,3,2,1.79
1335,어린이집,가산 어린이집,금천구,126.8842639,37.48275774,5,2,3,2,1.79
756,어린이집,아이젤어린이집,은평구,126.91928870000001,37.594193100000005,3,1,5,2,1.71
343,어린이집,개나리어린이집,강동구,127.1357082,37.5521359,7,2,1,1,1.71
342,어린이집,강동아이슐레어린이집,강동구,127.137505,37.55322569,7,2,1,1,1.71
136,유치원,선한유치원,성북구,127.0205883,37.60398309,6,1,2,1,1.65
615,초등학교,서울동원초등학교,중랑구,127.1044914,37.60457653,6,1,2,1,1.65
833,초등학교,서울신내초등학교,중랑구,127.100154,37.6049335,6,1,2,1,1.65
148,유치원,해뜨는유치원,성북구,127.0157068,37.60483170000001,6,1,2,1,1.65
