index,행정구역,시설종류,대상시설명,위도,경도,CARI,CARI300
83,강서구,어린이집,성산어린이집,37.56529764,126.8114272,0.97,0.0
84,강서구,어린이집,구립엠밸리큰나무어린이집,37.56186182,126.8360761,0.63,0.0
85,강서구,어린이집,하늘숲어린이집,37.54336869,126.8344082,0.32,0.0
86,강서구,학원,스터디플랜독서실,37.53493717,126.856235,2.72,1.65
87,강서구,특수학교,서진학교,37.5654768152,126.8506223108,0.0,0.0
88,도봉구,특수학교,인강,37.69452020000001,127.0421215,0.0,0.0
89,성북구,초등학교,돈암초등학교,37.5937453,127.0131031,0.6,0.05
90,성북구,초등학교,청덕초등학교,37.61204229999999,127.0003392,0.0,0.0
91,성북구,초등학교,숭례초등학교,37.59452281,127.03529679999998,0.08,0.0
92,성북구,초등학교,동신초등학교,37.58328607,127.0170593,0.38,0.0
93,성북구,초등학교,안암초등학교,37.58715951,127.0220989,0.0,0.0
94,성북구,초등학교,월곡초등학교,37.61002333,127.0460816,2.03,0.32
95,성북구,초등학교,길음초등학교,37.61363151,127.0166585,1.08,0.0
96,성북구,초등학교,석관초등학교,37.61102341,127.0583548,1.9,0.98
97,중랑구,어린이집,삼성어린이집,37.5941501,127.0869214,0.4,0.0
98,중랑구,어린이집,상봉어린이집,37.60202594,127.0901512,1.68,0.22
99,성북구,초등학교,장곡초등학교,37.61683038,127.0481563,1.08,0.06
100,성북구,초등학교,정릉초등학교,37.61979533,127.0052212,0.0,0.0
101,성북구,초등학교,정수초등학교,37.60377561,127.0077189,0.45,0.0
102,성북구,초등학교,개운초등학교,37.60183731,127.0275455,0.71,0.0
103,성북구,초등학교,길원초등학교,37.60906528,127.0167359,1.08,0.02
104,성북구,초등학교,대광초등학교,37.57915122,127.0234479,0.38,0.0
105,성북구,초등학교,매원초등학교,37.59767468,127.0191869,0.6,0.07
106,성북구,초등학교,미아초등학교,37.6105142,127.0216457,1.08,1.01
107,성북구,초등학교,성북초등학교,37.59405236,126.9987771,0.4,0.04
108,성북구,초등학교,성신초등학교,37.59462313,127.0231285,0.57,0.0
109,성북구,초등학교,숭곡초등학교,37.6084672,127.03281640000002,1.68,0.22
110,성북구,초등학교,숭덕초등학교,37.60381836,127.0132906,0.84,0.0
111,성북구,초등학교,정덕초등학교,37.59823941,127.013421,0.6,0.59
112,성북구,초등학교,장위초등학교,37.6114417,127.0500057,2.04,0.61
113,성북구,초등학교,광운초등학교,37.61905819,127.0550899,1.03,0.0
114,성북구,초등학교,삼선초등학교,37.58714288,127.0126717,0.08,0.0
115,성북구,초등학교,석계초등학교,37.60881522,127.0697429,1.71,0.13
116,성북구,초등학교,일신초등학교,37.59881357,127.04017720000002,0.58,0.0
117,성북구,초등학교,장월초등학교,37.62194118,127.0471649,1.0,0.0
118,성북구,초등학교,숭인초등학교,37.60916119,127.0382348,1.43,0.42
